SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Charges_per_Month,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,Tenure_Charges,SeniorCitizen_MonthlyCharges,Tenure_Category
0,-1.2774445836787656,-1.1603229160349193,-0.9926105235902257,-1.1578889425733963,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1.4791389581919183,-0.0,
0,0.06632741908223598,-0.2596289419448806,-0.17216470898960817,-0.30565771102922806,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,-0.020273487095152594,-0.0,0-1 Year
0,-1.2367242199587352,-0.3626603559551803,-0.9580659010627455,-0.35530461389588164,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.4394138214681238,-0.0,
0,0.5142514200025698,-0.7465354629935549,-0.1936723762720431,-0.7916137874149846,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,-0.4070885142717683,-0.0,0-1 Year
0,-1.2367242199587352,0.19736523310080326,-0.9388744441030343,0.3652819350715464,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,-0.45175301621637554,0.0,
0,-0.9924020376385531,1.1595456961969886,-0.6437892489880273,1.2511064340608156,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,-1.2416005744646574,0.0,
0,-0.4223169455581282,0.8089065291619363,-0.14573785216462656,0.7888241856401756,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,-0.33313382066193686,0.0,
0,-0.9109613101984924,-1.1636465100352518,-0.8725867105812734,-1.1466246011182735,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.0445306489405262,-0.0,
0,-0.1779947632379461,1.330710787214099,0.33808539553347106,1.4573432739377004,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,-0.25939947100095423,0.0,
0,1.2064976032430856,-0.28621769394753876,0.5330441272690194,-0.28300549630204186,True,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.3414454529930334,-0.0,0-1 Year
